Tournament,Stage,Match Type,Match Name,Team,Action,Map
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Mega Minors,pick,Corrode
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,DRX,ban,Ascent
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Mega Minors,ban,Bind
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Team Heretics,ban,Abyss
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,T1,ban,Haven
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Team Heretics,pick,Lotus
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,T1,pick,Sunset
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Team Heretics,ban,Bind
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,T1,ban,Corrode
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,FNATIC,ban,Sunset
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,MIBR,ban,Lotus
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,FNATIC,pick,Bind
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,MIBR,pick,Abyss
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,FNATIC,ban,Corrode
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,MIBR,ban,Ascent
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Team Liquid,ban,Haven
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,EDward Gaming,ban,Lotus
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Team Liquid,pick,Sunset
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,EDward Gaming,pick,Abyss
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Team Liquid,ban,Corrode
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,EDward Gaming,ban,Ascent
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Xi Lai Gaming,ban,Corrode
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Sentinels,ban,Ascent
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Xi Lai Gaming,pick,Abyss
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Sentinels,pick,Lotus
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Xi Lai Gaming,ban,Sunset
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Sentinels,ban,Bind
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Rex Regum Qeon,ban,Bind
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Bilibili Gaming,ban,Corrode
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Rex Regum Qeon,pick,Sunset
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Bilibili Gaming,pick,Lotus
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Rex Regum Qeon,ban,Ascent
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Bilibili Gaming,ban,Haven
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Dragon Ranger Gaming,ban,Bind
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,G2 Esports,ban,Corrode
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Dragon Ranger Gaming,pick,Lotus
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,G2 Esports,pick,Abyss
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Dragon Ranger Gaming,ban,Haven
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,G2 Esports,ban,Sunset
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Team Liquid,ban,Haven
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,DRX,ban,Sunset
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Team Liquid,pick,Corrode
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,DRX,pick,Abyss
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Team Liquid,ban,Lotus
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,DRX,ban,Ascent
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Xi Lai Gaming,ban,Sunset
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,GIANTX,ban,Abyss
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Xi Lai Gaming,pick,Bind
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,GIANTX,pick,Ascent
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Xi Lai Gaming,ban,Corrode
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,GIANTX,ban,Haven
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,G2 Esports,ban,Bind
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,T1,ban,Abyss
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,G2 Esports,pick,Lotus
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,T1,pick,Corrode
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,G2 Esports,ban,Ascent
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,T1,ban,Haven
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Rex Regum Qeon,ban,Bind
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,MIBR,ban,Lotus
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Rex Regum Qeon,pick,Corrode
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,MIBR,pick,Abyss
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Rex Regum Qeon,ban,Sunset
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,MIBR,ban,Ascent
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Paper Rex,ban,Abyss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,G2 Esports,ban,Bind
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Paper Rex,pick,Lotus
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,G2 Esports,pick,Corrode
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Paper Rex,ban,Haven
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,G2 Esports,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,DRX,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,FNATIC,ban,Abyss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,DRX,pick,Haven
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,FNATIC,pick,Ascent
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,DRX,ban,Bind
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,FNATIC,ban,Corrode
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,MIBR,ban,Lotus
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Team Heretics,ban,Abyss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,MIBR,pick,Corrode
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Team Heretics,pick,Sunset
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,MIBR,ban,Ascent
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Team Heretics,ban,Bind
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,GIANTX,ban,Corrode
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Mega Minors,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,GIANTX,pick,Haven
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Mega Minors,pick,Lotus
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,GIANTX,ban,Bind
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Mega Minors,ban,Ascent
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,G2 Esports,ban,Haven
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,DRX,ban,Sunset
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,G2 Esports,pick,Lotus
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,DRX,pick,Abyss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,G2 Esports,ban,Ascent
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,DRX,ban,Corrode
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,GIANTX,ban,Corrode
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Team Heretics,ban,Abyss
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,GIANTX,pick,Ascent
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Team Heretics,pick,Lotus
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,GIANTX,ban,Haven
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Team Heretics,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Paper Rex,ban,Abyss
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,FNATIC,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Paper Rex,pick,Bind
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,FNATIC,pick,Haven
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Paper Rex,ban,Ascent
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,FNATIC,ban,Corrode
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,MIBR,ban,Lotus
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Mega Minors,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,MIBR,pick,Abyss
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Mega Minors,pick,Haven
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,MIBR,ban,Ascent
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Mega Minors,ban,Bind
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Team Heretics,ban,Sunset
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Paper Rex,ban,Haven
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Team Heretics,pick,Ascent
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Paper Rex,pick,Bind
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Team Heretics,ban,Abyss
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Paper Rex,ban,Corrode
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,MIBR,ban,Abyss
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,DRX,ban,Corrode
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,MIBR,pick,Sunset
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,DRX,pick,Ascent
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,MIBR,ban,Haven
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,DRX,ban,Lotus
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,FNATIC,ban,Corrode
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Mega Minors,ban,Haven
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,FNATIC,pick,Ascent
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Mega Minors,pick,Abyss
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,FNATIC,ban,Sunset
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Mega Minors,ban,Bind
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,ban,Sunset
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Paper Rex,ban,Abyss
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,pick,Ascent
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Paper Rex,pick,Lotus
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,ban,Bind
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Paper Rex,ban,Haven
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,FNATIC,ban,Abyss
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,DRX,ban,Lotus
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,FNATIC,pick,Sunset
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,DRX,pick,Corrode
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,FNATIC,pick,Haven
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,DRX,pick,Bind
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Mega Minors,ban,Haven
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Mega Minors,ban,Bind
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Mega Minors,pick,Corrode
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,FNATIC,pick,Lotus
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Mega Minors,pick,Abyss
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,FNATIC,pick,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,FURIA,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Cloud9,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,FURIA,pick,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Cloud9,pick,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,FURIA,ban,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Cloud9,ban,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LEVIATÁN,ban,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LOUD,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LEVIATÁN,pick,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LOUD,pick,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LEVIATÁN,ban,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,LOUD,ban,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,2Game Esports,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Evil Geniuses,ban,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,2Game Esports,pick,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Evil Geniuses,pick,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,2Game Esports,ban,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Evil Geniuses,ban,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,KRÜ Esports,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,MIBR,ban,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,KRÜ Esports,pick,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,MIBR,pick,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,KRÜ Esports,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,MIBR,ban,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,100 Thieves,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Mega Minors,ban,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,100 Thieves,pick,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Mega Minors,pick,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,100 Thieves,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Mega Minors,ban,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Sentinels,ban,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,G2 Esports,ban,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Sentinels,pick,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,G2 Esports,pick,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Sentinels,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,G2 Esports,ban,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,2Game Esports,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,G2 Esports,ban,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,2Game Esports,pick,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,G2 Esports,pick,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,2Game Esports,ban,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,G2 Esports,ban,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Sentinels,ban,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,FURIA,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Sentinels,pick,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,FURIA,pick,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Sentinels,ban,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,FURIA,ban,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,KRÜ Esports,ban,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,100 Thieves,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,KRÜ Esports,pick,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,100 Thieves,pick,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,KRÜ Esports,ban,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,100 Thieves,ban,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,LOUD,ban,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,Mega Minors,ban,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,LOUD,pick,Haven
