Tournament,Stage,Match Type,Match Name,Map
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Bind
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Ascent
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Lotus
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Corrode
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Corrode
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Abyss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Lotus
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Corrode
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Ascent
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Haven
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Abyss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Bind
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Ascent
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Lotus
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Bind
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Bind
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Haven
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Lotus
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Abyss
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Haven
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Corrode
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Ascent
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Bind
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Lotus
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Sunset
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Ascent
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Bind
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Ascent
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Abyss
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Ascent
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Sunset
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Haven
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Bind
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Corrode
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Lotus
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Abyss
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Ascent
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 2,FURIA vs Sentinels,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 3,2Game Esports vs FURIA,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 3,LEVIATÁN vs NRG,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sentinels vs Cloud9,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 4,MIBR vs NRG,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sentinels vs Evil Geniuses,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 4,Sentinels vs Evil Geniuses,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,Bind
VCT 2025: Americas Stage 2,Group Stage,Week 4,LOUD vs 100 Thieves,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,Corrode
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Sunset
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Haven
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,Ascent
VCT 2025: Americas Stage 2,Group Stage,Week 5,G2 Esports vs Cloud9,Lotus
VCT 2025: Americas Stage 2,Group Stage,Week 5,MIBR vs LOUD,Icebox
VCT 2025: Americas Stage 2,Group Stage,Week 5,MIBR vs LOUD,Sunset
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Corrode
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Haven
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Lotus
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Sunset
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,Haven
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Corrode
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Icebox
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Lotus
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Corrode
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Sunset
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,Bind
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,Lotus
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,Sunset
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,Haven
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Bind
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,Corrode
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,Ascent
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,Icebox
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Haven
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Icebox
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Bind
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Sunset
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Haven
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Corrode
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,Lotus
VCT 2025: Americas Stage 2,Showmatch,Override,Team Alpha vs Team Omega,Corrode
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Lotus
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Icebox
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Sunset
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Corrode
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Team Liquid vs Natus Vincere,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Gentle Mates vs Team Heretics,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 2,KOI vs FNATIC,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Natus Vincere vs Karmine Corp,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Liquid vs FNATIC,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Icebox
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Apeks vs FNATIC,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,Haven
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Corrode
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,Sunset
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,Ascent
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Lotus
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Bind
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Sunset
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Corrode
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Ascent
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Haven
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Bind
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Haven
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,Ascent
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Icebox
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Ascent
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Sunset
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Corrode
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Ascent
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Haven
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Corrode
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Bind
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Haven
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Bind
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,Lotus
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,Sunset
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Icebox
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Haven
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Ascent
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Sunset
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Bind
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Icebox
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Sunset
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,GIANTX vs Natus Vincere,Haven
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Ascent
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Sunset
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,Bind
VCT 2025: EMEA Stage 2,Showmatch,Main Event,Team France vs Team EMEA,Corrode
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Team Liquid vs GIANTX,Bind
